dzielnica,powierzchnia,pokoje,pietro,rok_budowy,stan,winda,odleglosc_km,cena
Nowa Huta,60.6,3,6,2006.0,dobry,True,7.8,508000.0
Krowodrza,62.5,3,9,2011.0,do remontu,True,3.3,620000.0
Bronowice,57.3,2,8,2009.0,po remoncie,True,5.2,823000.0
Nowa Huta,31.7,1,7,,dobry,True,8.5,242000.0
Centrum,23.2,1,8,1925.0,po remoncie,True,0.3,431000.0
Bronowice,53.0,2,1,1985.0,do remontu,False,5.1,472000.0
Nowa Huta,44.1,2,9,1981.0,do remontu,True,8.4,287000.0
Nowa Huta,61.1,3,9,2007.0,dobry,True,8.8,510000.0
Centrum,66.5,2,1,1910.0,dobry,False,0.3,970000.0
Krowodrza,54.6,2,5,1983.0,dobry,True,2.7,706000.0
Podgórze,67.8,4,9,1975.0,do remontu,True,0.8,687000.0
Bronowice,56.3,3,5,1972.0,po remoncie,True,4.4,685000.0
Nowa Huta,62.6,3,9,1971.0,po remoncie,True,7.5,504000.0
Nowa Huta,40.6,2,10,1972.0,po remoncie,True,7.0,392000.0
Krowodrza,48.8,2,5,,do remontu,True,3.2,456000.0
Podgórze,55.7,2,0,1986.0,dobry,True,3.4,647000.0
Krowodrza,69.3,3,3,1987.0,dobry,True,0.7,1039000.0
Centrum,45.3,2,2,1983.0,dobry,False,1.2,726000.0
Nowa Huta,62.4,3,5,,dobry,True,7.1,561000.0
Nowa Huta,47.4,3,6,2015.0,do remontu,True,8.5,348000.0
Nowa Huta,49.9,2,5,1993.0,dobry,True,6.7,488000.0
Podgórze,69.5,3,2,2001.0,dobry,False,3.5,915000.0
Bronowice,25.9,1,3,2007.0,dobry,False,4.7,307000.0
Bronowice,33.0,2,7,2004.0,do remontu,True,5.3,356000.0
Nowa Huta,31.0,1,0,1968.0,dobry,False,8.1,257000.0
Podgórze,23.0,1,2,2022.0,dobry,False,3.2,277000.0
Krowodrza,41.0,2,9,1970.0,dobry,True,1.5,474000.0
Centrum,67.6,3,1,1987.0,dobry,True,0.3,1171000.0
Podgórze,47.1,2,4,2001.0,dobry,True,2.9,629000.0
Nowa Huta,55.7,3,2,1985.0,po remoncie,True,8.0,577000.0
Nowa Huta,76.1,3,1,1975.0,dobry,False,7.4,550000.0
Bronowice,82.8,4,4,2019.0,dobry,True,5.6,895000.0
Podgórze,50.8,2,5,1964.0,po remoncie,True,3.2,694000.0
Podgórze,83.5,3,1,1975.0,dobry,False,2.5,965000.0
Krowodrza,53.7,2,0,2023.0,po remoncie,False,2.7,684000.0
Podgórze,38.8,2,1,2006.0,po remoncie,True,3.7,566000.0
Centrum,42.2,1,7,1903.0,do remontu,True,1.3,404000.0
Krowodrza,31.0,1,9,2008.0,dobry,True,4.9,374000.0
Podgórze,38.1,1,1,2022.0,dobry,False,2.8,553000.0
Nowa Huta,45.9,2,3,1966.0,po remoncie,False,7.9,475000.0
Krowodrza,68.9,3,3,1986.0,dobry,True,3.4,800000.0
Nowa Huta,95.0,4,3,1989.0,do remontu,False,8.0,628000.0
Nowa Huta,32.1,2,2,1968.0,dobry,False,7.5,251000.0
Podgórze,59.7,1,0,1972.0,do remontu,False,2.0,709000.0
Nowa Huta,36.1,2,5,1971.0,po remoncie,True,7.5,314000.0
Nowa Huta,61.4,4,3,1971.0,dobry,True,6.9,485000.0
Podgórze,49.7,2,3,1985.0,po remoncie,False,1.8,783000.0
Podgórze,27.4,1,2,1989.0,po remoncie,False,2.7,352000.0
Nowa Huta,72.0,3,10,1975.0,dobry,True,7.0,644000.0
Centrum,42.1,1,6,1982.0,dobry,True,1.6,581000.0
Podgórze,43.1,2,4,1972.0,po remoncie,True,4.1,552000.0
Centrum,35.8,2,2,1948.0,po remoncie,False,0.3,500000.0
Nowa Huta,41.4,3,8,1973.0,po remoncie,True,7.7,340000.0
Nowa Huta,60.4,3,9,2018.0,do remontu,True,6.1,516000.0
Nowa Huta,48.7,3,0,1994.0,dobry,False,7.5,398000.0
Nowa Huta,58.3,3,10,2011.0,dobry,True,8.4,488000.0
Krowodrza,59.0,4,7,2000.0,po remoncie,True,3.8,819000.0
Krowodrza,82.6,4,1,1977.0,dobry,True,2.3,1065000.0
Centrum,46.1,2,8,1977.0,dobry,True,2.1,745000.0
Centrum,31.0,2,1,1955.0,do remontu,True,0.3,452000.0
Nowa Huta,75.5,5,0,1967.0,dobry,False,6.8,459000.0
Krowodrza,46.3,3,1,1976.0,po remoncie,False,3.7,586000.0
Krowodrza,76.8,3,5,1977.0,dobry,True,4.7,977000.0
Nowa Huta,59.5,3,6,1968.0,do remontu,True,8.5,397000.0
Nowa Huta,49.7,2,4,1961.0,po remoncie,True,8.0,458000.0
Krowodrza,58.8,2,1,2020.0,po remoncie,False,0.8,961000.0
Krowodrza,102.9,5,2,1992.0,do remontu,False,1.0,1138000.0
Podgórze,107.6,5,9,1985.0,dobry,True,3.6,1231000.0
Centrum,53.3,3,10,1942.0,po remoncie,True,0.6,875000.0
Krowodrza,55.0,3,8,1974.0,po remoncie,True,1.9,913000.0
Podgórze,75.8,4,1,1985.0,dobry,False,3.6,817000.0
Krowodrza,38.7,2,9,,dobry,True,3.1,506000.0
Bronowice,58.4,2,7,2000.0,dobry,True,5.9,674000.0
Podgórze,51.5,3,5,1985.0,do remontu,True,3.6,617000.0
Centrum,58.0,2,1,1976.0,po remoncie,True,2.2,985000.0
Podgórze,38.8,1,10,1962.0,,True,3.5,493000.0
Podgórze,29.8,1,4,,do remontu,True,3.4,347000.0
Nowa Huta,25.2,1,0,,po remoncie,True,9.1,227000.0
Krowodrza,35.2,1,2,2010.0,po remoncie,False,2.0,525000.0
Nowa Huta,44.3,2,4,,po remoncie,True,10.8,372000.0
Nowa Huta,46.9,1,0,1987.0,dobry,False,8.4,363000.0
Krowodrza,102.4,4,3,2010.0,dobry,False,3.4,1473000.0
Nowa Huta,76.6,3,5,1970.0,dobry,True,8.5,624000.0
Podgórze,37.1,2,10,1973.0,dobry,True,5.4,430000.0
Centrum,58.7,3,0,1916.0,dobry,False,1.8,697000.0
Centrum,45.1,2,6,,dobry,True,0.3,677000.0
Nowa Huta,47.1,3,10,1999.0,dobry,True,9.4,481000.0
Krowodrza,55.5,3,8,2014.0,po remoncie,True,2.7,858000.0
Podgórze,64.6,2,10,,po remoncie,True,3.6,808000.0
Krowodrza,46.2,1,1,2014.0,do remontu,True,1.7,650000.0
Podgórze,75.5,3,8,1964.0,dobry,True,4.0,890000.0
Nowa Huta,34.9,1,10,1974.0,do remontu,True,7.3,259000.0
Krowodrza,52.1,2,3,1993.0,dobry,False,3.1,661000.0
Podgórze,129.1,5,5,1963.0,dobry,True,3.2,1455000.0
Podgórze,56.2,3,5,2014.0,do remontu,True,5.4,576000.0
Nowa Huta,85.9,4,5,2015.0,po remoncie,True,10.0,702000.0
Podgórze,53.7,2,3,1994.0,,True,3.5,655000.0
Centrum,63.7,2,10,1984.0,po remoncie,True,1.1,1194000.0
Centrum,51.0,2,10,1968.0,do remontu,True,0.6,828000.0
Bronowice,49.0,2,4,1999.0,do remontu,True,6.1,473000.0
Bronowice,39.6,2,8,1994.0,dobry,True,4.7,361000.0
Nowa Huta,60.5,3,4,2008.0,do remontu,True,7.6,446000.0
Podgórze,38.6,1,8,1998.0,dobry,True,4.5,616000.0
Bronowice,65.6,2,6,,po remoncie,True,4.5,910000.0
Nowa Huta,76.0,3,5,1967.0,dobry,True,8.0,561000.0
Nowa Huta,59.1,2,1,2009.0,do remontu,True,6.4,481000.0
Krowodrza,47.0,2,7,,dobry,True,3.7,567000.0
Podgórze,61.0,3,3,2020.0,dobry,False,5.4,636000.0
Centrum,46.7,2,2,1984.0,,False,1.7,696000.0
Bronowice,72.1,4,2,2006.0,dobry,False,6.5,792000.0
Krowodrza,27.4,1,10,2022.0,po remoncie,True,2.2,367000.0
Podgórze,46.2,2,1,1988.0,do remontu,True,3.7,424000.0
Podgórze,25.9,1,8,1963.0,dobry,True,2.6,305000.0
Krowodrza,30.8,1,9,2016.0,dobry,True,2.8,416000.0
Podgórze,83.8,4,0,1971.0,po remoncie,False,4.3,1084000.0
