id_klienta,umowa,plan,oplata_miesieczna,staz_miesiecy,uslugi_dodatkowe,zgloszenia,opoznione_platnosci,platnosc,wiek,powod_rezygnacji,rezygnacja
11197,miesięczna,standard,97.0,10,1,1,1,karta,37.0,przeprowadzka,tak
10527,dwuletnia,premium,134.0,9,1,2,0,karta,41.0,,nie
10394,roczna,podstawowy,42.0,21,1,3,0,karta,26.0,,nie
11405,miesięczna,premium,142.0,37,3,0,0,polecenie zapłaty,42.0,jakość,tak
10434,dwuletnia,podstawowy,60.0,13,3,0,1,karta,28.0,,nie
10577,dwuletnia,standard,86.0,84,0,4,0,polecenie zapłaty,54.0,,nie
11212,dwuletnia,standard,78.0,65,2,1,1,przelew,40.0,,nie
10430,dwuletnia,standard,86.0,33,3,2,1,przelew,47.0,,nie
10612,roczna,Premium ,122.0,23,0,0,1,przelew,63.0,,nie
10531,roczna,standard,90.0,15,3,2,3,przelew,37.0,jakość,tak
10813,dwuletnia,standard,86.0,12,0,1,0,polecenie zapłaty,57.0,,nie
11451,dwuletnia,standard,92.0,23,0,1,0,karta,28.0,,nie
10652,dwuletnia,standard,86.0,8,3,1,2,polecenie zapłaty,32.0,,nie
10562,miesięczna,standard,69.0,19,0,2,1,polecenie zapłaty,44.0,konkurencja,tak
11474,roczna,standard,90.0,21,3,1,0,karta,,,nie
10711,dwuletnia,premium,126.0,9,1,5,2,polecenie zapłaty,29.0,,nie
11506,roczna,standard,80.0,11,1,0,1,polecenie zapłaty,46.0,,nie
10125,miesięczna,podstawowy,62.0,52,3,0,2,przelew,56.0,,nie
11771,roczna,premium,122.0,15,3,0,1,polecenie zapłaty,25.0,,nie
10463,dwuletnia,podstawowy,60.0,52,3,2,0,karta,44.0,,nie
11894,miesięczna,standard,87.0,22,3,1,0,karta,140.0,,nie
11118,roczna,standard,69.0,1,0,2,1,przelew,59.0,cena,tak
10999,dwuletnia,premium,121.0,38,1,0,0,polecenie zapłaty,30.0,,nie
10793,miesięczna,standard,87.0,84,2,0,1,przelew,20.0,,nie
11777,roczna,standard,95.0,4,1,1,1,karta,42.0,konkurencja,tak
11877,miesięczna,podstawowy,69.0,10,1,1,0,karta,68.0,,nie
